ID,study.area,zone,sector,subsector,total.lithics,area.sqm,assemblage,predicted.period,MP_ubiq,UP_ubiq,EPI_ubiq,MESO_ubiq,ENEOL_ubiq,LNEOL_ubiq,density.km2,MP_int,UP_int,EPI_int,MESO_int,ENEOL_int,LNEOL_int
21,Cocina/Catadau,0,1,0,56,8800.957764,Cocina/Catadau-0-1-0,ENEOL,0.1160201978476173,0.27044674268053887,0.02869619883040935,0.07371149508648954,0.40346970858470754,0.1076556569702375,6.362943841074431e-6,9.22787504168417e-10,6.8833497427111054e-9,4.564807540255012e-9,1.3400631533627622e-8,1.0269020389196641e-7,5.708390828963286e-8
29,Cocina/Catadau,0,1,0,2,6143.153809,Cocina/Catadau-0-1-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,3.2556567232126096e-7,7.063039159547349e-13,2.260172531055152e-12,1.41260783190947e-11,1.61440895075368e-11,2.2601725310551518e-11,4.708692773031567e-11
30,Cocina/Catadau,0,1,0,2,3428.479004,Cocina/Catadau-0-1-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,5.833490587711355e-7,1.2655564133677703e-12,4.049780522776865e-12,2.5311128267355407e-11,2.8927003734120463e-11,4.049780522776865e-11,8.437042755785135e-11
31,Cocina/Catadau,0,1,0,6,6855.785889,Cocina/Catadau-0-1-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,8.751731890616516e-7,1.8986591742475636e-12,6.075709357592203e-12,3.797318348495127e-11,4.339792398280145e-11,6.075709357592203e-11,1.265772782831709e-10
32,Cocina/Catadau,0,1,0,10,7806.147461,Cocina/Catadau-0-1-0,ENEOL,0.1160201978476173,0.27044674268053887,0.02869619883040935,0.07371149508648954,0.40346970858470754,0.1076556569702375,1.2810416469789515e-6,1.8578338166691932e-10,1.3858141626542808e-9,9.190256452935764e-10,2.697928430482213e-9,2.0674459999658856e-8,1.149261500931284e-8
34,Cocina/Catadau,0,1,0,2,2920.281738,Cocina/Catadau-0-1-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,6.848654271863956e-7,1.4857928038753313e-12,4.75453697240106e-12,2.9715856077506624e-11,3.396097837429329e-11,4.75453697240106e-11,9.905285359168875e-11
36,Cocina/Catadau,0,1,0,9,2122.785645,Cocina/Catadau-0-1-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,4.239712107154371e-6,9.197914640241624e-12,2.9433326848773196e-11,1.8395829280483247e-10,2.1023804891980853e-10,2.9433326848773196e-10,6.131943093494416e-10
37,Cocina/Catadau,0,1,0,7,7163.727295,Cocina/Catadau-0-1-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,9.771449570513e-7,2.119883539010583e-12,6.783627324833865e-12,4.239767078021166e-11,4.845448089167047e-11,6.783627324833865e-11,1.4132556926737219e-10
38,Cocina/Catadau,0,1,0,1,6635.826904,Cocina/Catadau-0-1-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,1.50697119510036e-7,3.269323970004015e-13,1.0461836704012847e-12,6.53864794000803e-12,7.47274050286632e-12,1.0461836704012848e-11,2.1795493133360098e-11
39,Cocina/Catadau,0,2,0,6,12690.67993,Cocina/Catadau-0-2-0,ENEOL,0.17274669946194504,0.21919840213219827,0.03288970532391585,0.08178328566306278,0.33004359025858926,0.16333831716028913,4.7278790680209045e-7,1.0209068805697849e-10,4.145374148737796e-10,3.887463733857936e-10,1.1047470982867678e-9,6.241624727672208e-9,6.435365089232422e-9
